trial,unscaled_acc,unscaled_mem_density,avg_bitwidth,scaled_acc,scaled_mem_density
0,0.9492,7.7356,4.14,0.9492, 1.5471
1,0.9674,7.3119,4.38,0.9674, 1.4624
2,0.9414,7.8557,4.07,0.9414, 1.5711
3,0.9609,7.2542,4.41,0.9609, 1.4508
4,0.9440,7.6172,4.20,0.9440, 1.5234
5,0.9727,7.2821,4.39,0.9727, 1.4564
6,0.9427,7.6244,4.20,0.9427, 1.5249
7,0.9688,7.4561,4.29,0.9688, 1.4912
8,0.9427,7.4434,4.30,0.9427, 1.4887
9,0.9388,7.7055,4.15,0.9388, 1.5411
10,0.9414,8.0293,3.99,0.9414, 1.6059
11,0.9427,7.8433,4.08,0.9427, 1.5687
12,0.9336,8.0071,4.00,0.9336, 1.6014
13,0.9453,7.7878,4.11,0.9453, 1.5576
14,0.9128,8.0393,3.98,0.9128, 1.6079
15,0.9531,7.6960,4.16,0.9531, 1.5392
16,0.9349,7.8884,4.06,0.9349, 1.5777
17,0.9648,7.5447,4.24,0.9648, 1.5089
18,0.9102,7.9682,4.02,0.9102, 1.5936
19,0.9674,7.5315,4.25,0.9674, 1.5063
20,0.9453,8.0487,3.98,0.9453, 1.6097
21,0.9583,7.4783,4.28,0.9583, 1.4957
22,0.9466,7.5130,4.26,0.9466, 1.5026
23,0.9349,7.9504,4.02,0.9349, 1.5901
24,0.9206,7.6486,4.18,0.9206, 1.5297
25,0.9323,8.0839,3.96,0.9323, 1.6168
26,0.9596,7.5080,4.26,0.9596, 1.5016
27,0.9622,7.8518,4.08,0.9622, 1.5704
28,0.9479,7.8179,4.09,0.9479, 1.5636
29,0.9427,7.6942,4.16,0.9427, 1.5388
30,0.9388,7.7675,4.12,0.9388, 1.5535
31,0.9779,7.2804,4.40,0.9779, 1.4561
32,0.9753,7.2691,4.40,0.9753, 1.4538
33,0.9753,7.2105,4.44,0.9753, 1.4421
34,0.9740,7.4794,4.28,0.9740, 1.4959
35,0.9609,7.5095,4.26,0.9609, 1.5019
36,0.9440,7.2771,4.40,0.9440, 1.4554
37,0.9336,7.7820,4.11,0.9336, 1.5564
38,0.9701,7.2938,4.39,0.9701, 1.4588
39,0.9635,7.5077,4.26,0.9635, 1.5015
40,0.9635,7.5787,4.22,0.9635, 1.5157
41,0.9245,8.0284,3.99,0.9245, 1.6057
42,0.9479,7.7754,4.12,0.9479, 1.5551
43,0.9258,8.0346,3.98,0.9258, 1.6069
44,0.9271,7.7483,4.13,0.9271, 1.5497
45,0.9479,7.8577,4.07,0.9479, 1.5715
46,0.9388,7.8322,4.09,0.9388, 1.5664
47,0.9479,7.6826,4.17,0.9479, 1.5365
48,0.9570,7.8147,4.09,0.9570, 1.5629
49,0.9492,7.5767,4.22,0.9492, 1.5153
50,0.9557,7.9584,4.02,0.9557, 1.5917
51,0.9609,7.6951,4.16,0.9609, 1.5390
52,0.9518,7.7488,4.13,0.9518, 1.5498
53,0.9453,7.9340,4.03,0.9453, 1.5868
54,0.9583,7.5361,4.25,0.9583, 1.5072
55,0.9766,7.5844,4.22,0.9766, 1.5169
56,0.9674,7.7342,4.14,0.9674, 1.5468
