trial,unscaled_acc,unscaled_mem_density,avg_bitwidth,scaled_acc,scaled_mem_density
0,0.6719,6.0983,5.25,0.6719, 0.6098
1,0.7578,7.4398,4.30,0.7578, 0.7440
2,0.6562,5.4797,5.84,0.6562, 0.5480
3,0.8672,5.2610,6.08,0.8672, 0.5261
4,0.7422,6.2601,5.11,0.7422, 0.6260
5,0.6953,4.9417,6.48,0.6953, 0.4942
6,0.6719,5.8339,5.49,0.6719, 0.5834
7,0.6250,6.4312,4.98,0.6250, 0.6431
8,0.6875,7.0126,4.56,0.6875, 0.7013
9,0.7422,5.7027,5.61,0.7422, 0.5703
10,0.7031,8.1376,3.93,0.7031, 0.8138
11,0.6719,7.4908,4.27,0.6719, 0.7491
12,0.6719,7.1108,4.50,0.6719, 0.7111
13,0.7266,6.0144,5.32,0.7266, 0.6014
14,0.6953,7.4822,4.28,0.6953, 0.7482
15,0.7031,7.6915,4.16,0.7031, 0.7692
16,0.6016,5.6439,5.67,0.6016, 0.5644
17,0.6719,6.1094,5.24,0.6719, 0.6109
18,0.7734,8.3753,3.82,0.7734, 0.8375
19,0.7109,8.2085,3.90,0.7109, 0.8208
20,0.5703,7.0353,4.55,0.5703, 0.7035
21,0.7734,8.3753,3.82,0.7734, 0.8375
22,0.7578,5.2527,6.09,0.7578, 0.5253
23,0.8438,5.4570,5.86,0.8438, 0.5457
24,0.6562,6.2130,5.15,0.6562, 0.6213
25,0.7734,8.3753,3.82,0.7734, 0.8375
26,0.7031,8.1984,3.90,0.7031, 0.8198
27,0.7188,6.7888,4.71,0.7188, 0.6789
28,0.5078,6.7197,4.76,0.5078, 0.6720
29,0.7188,6.5922,4.85,0.7188, 0.6592
30,0.6875,8.3543,3.83,0.6875, 0.8354
31,0.8438,5.4570,5.86,0.8438, 0.5457
32,0.7734,8.3753,3.82,0.7734, 0.8375
33,0.6328,8.1984,3.90,0.6328, 0.8198
34,0.6797,5.2568,6.09,0.6797, 0.5257
35,0.7266,6.8879,4.65,0.7266, 0.6888
36,0.7344,6.4501,4.96,0.7344, 0.6450
37,0.7266,5.7875,5.53,0.7266, 0.5787
38,0.5391,6.5855,4.86,0.5391, 0.6585
39,0.8047,6.8027,4.70,0.8047, 0.6803
40,0.8047,6.8027,4.70,0.8047, 0.6803
41,0.8047,6.8027,4.70,0.8047, 0.6803
42,0.6172,6.4817,4.94,0.6172, 0.6482
43,0.7891,6.4123,4.99,0.7891, 0.6412
44,0.5859,6.6518,4.81,0.5859, 0.6652
45,0.6719,6.1436,5.21,0.6719, 0.6144
46,0.6875,7.7094,4.15,0.6875, 0.7709
47,0.7188,7.5337,4.25,0.7188, 0.7534
48,0.6875,6.4817,4.94,0.6875, 0.6482
49,0.7266,5.2443,6.10,0.7266, 0.5244
50,0.7266,6.8381,4.68,0.7266, 0.6838
51,0.6562,7.7004,4.16,0.6562, 0.7700
52,0.6953,6.4123,4.99,0.6953, 0.6412
53,0.6719,7.8941,4.05,0.6719, 0.7894
54,0.6016,6.6448,4.82,0.6016, 0.6645
55,0.7266,7.6563,4.18,0.7266, 0.7656
56,0.6641,5.9655,5.36,0.6641, 0.5966
57,0.7656,8.1080,3.95,0.7656, 0.8108
58,0.5859,6.4060,5.00,0.5859, 0.6406
59,0.5938,6.6315,4.83,0.5938, 0.6632
60,0.7656,7.5251,4.25,0.7656, 0.7525
61,0.7422,8.3754,3.82,0.7422, 0.8375
62,0.6875,5.5629,5.75,0.6875, 0.5563
63,0.6875,5.5629,5.75,0.6875, 0.5563
