trial_id,accuracy,memory_density,avg_bitwidth,quant_config_path,scaled_acc,scaled_mem_density
28,0.7838541666666666,7.709281410257245,4.150840823818393,/home/zz7522/Projects/llm-mixed-q/checkpoints/asplos/table_sampler_comparison/llama_160m_sst2/nagaii_0/quant_configs/quant_config_0.toml,0.7838541666666666,1.541856282051449
40,0.7786458333333334,7.740489774491663,4.134105325667395,/home/zz7522/Projects/llm-mixed-q/checkpoints/asplos/table_sampler_comparison/llama_160m_sst2/nagaii_0/quant_configs/quant_config_1.toml,0.7786458333333334,1.5480979548983327
45,0.7747395833333334,7.7467010469609905,4.13079061732394,/home/zz7522/Projects/llm-mixed-q/checkpoints/asplos/table_sampler_comparison/llama_160m_sst2/nagaii_0/quant_configs/quant_config_2.toml,0.7747395833333334,1.5493402093921982
69,0.765625,7.946834482508979,4.026760601398224,/home/zz7522/Projects/llm-mixed-q/checkpoints/asplos/table_sampler_comparison/llama_160m_sst2/nagaii_0/quant_configs/quant_config_3.toml,0.765625,1.589366896501796
96,0.8372395833333334,7.398514934902026,4.325192323265042,/home/zz7522/Projects/llm-mixed-q/checkpoints/asplos/table_sampler_comparison/llama_160m_sst2/nagaii_0/quant_configs/quant_config_4.toml,0.8372395833333334,1.4797029869804053
111,0.8515625,7.359045729595245,4.34838988312144,/home/zz7522/Projects/llm-mixed-q/checkpoints/asplos/table_sampler_comparison/llama_160m_sst2/nagaii_0/quant_configs/quant_config_5.toml,0.8515625,1.471809145919049
115,0.7239583333333334,8.075167258593842,3.9627662158879264,/home/zz7522/Projects/llm-mixed-q/checkpoints/asplos/table_sampler_comparison/llama_160m_sst2/nagaii_0/quant_configs/quant_config_6.toml,0.7239583333333334,1.6150334517187686
120,0.8294270833333334,7.52140309382086,4.254525332685508,/home/zz7522/Projects/llm-mixed-q/checkpoints/asplos/table_sampler_comparison/llama_160m_sst2/nagaii_0/quant_configs/quant_config_7.toml,0.8294270833333334,1.504280618764172
121,0.8372395833333334,7.398514934902026,4.325192323265042,/home/zz7522/Projects/llm-mixed-q/checkpoints/asplos/table_sampler_comparison/llama_160m_sst2/nagaii_0/quant_configs/quant_config_8.toml,0.8372395833333334,1.4797029869804053
124,0.7096354166666666,8.121959841822711,3.939935757281291,/home/zz7522/Projects/llm-mixed-q/checkpoints/asplos/table_sampler_comparison/llama_160m_sst2/nagaii_0/quant_configs/quant_config_9.toml,0.7096354166666666,1.6243919683645425
127,0.8203125,7.7062545584080775,4.1524711852511675,/home/zz7522/Projects/llm-mixed-q/checkpoints/asplos/table_sampler_comparison/llama_160m_sst2/nagaii_0/quant_configs/quant_config_10.toml,0.8203125,1.5412509116816155
